clc_quartier;clc_secteur;haut_tot;haut_tronc;tronc_diam;fk_stadedev;fk_port;fk_pied;fk_situation;age_estim;fk_prec_estim;feuillage;remarquable
Quartier du Centre-Ville;Quai Gayant;6;2;37;Jeune;semi libre;gazon;Alignement;15;5;Feuillu;Non
Quartier Saint-Jean;Rue Demoustier;0;0;0;NA;NA;fosse arbre;Alignement;15;10;NA;Non
Quartier du Vermandois;Stade Cepy;13;1;160;Adulte;semi libre;gazon;Groupe;50;10;Conifère;Non
Quartier du Centre-Ville;Rue Villebois Mareuil;12;3;116;Adulte;semi libre;gazon;Alignement;30;10;Feuillu;Non
Quartier de l'Europe;Square des Marronniers;16;3;150;Adulte;semi libre;gazon;Groupe;50;2;Feuillu;Non
Quartier de l'Europe;Avenue Buffon;5;2;170;Adulte;réduit;gazon;Isolé;40;2;Feuillu;Non
Quartier de l'Europe;Rue Laplace;8;3;103;Adulte;réduit relâché;fosse arbre;Alignement;30;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;6;3;100;Adulte;réduit;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;8;2;85;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;8;4;105;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;135;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;121;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;2;107;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;5;125;Adulte;réduit relâché;fosse arbre;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;10;4;92;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;10;5;150;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;115;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;4;89;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;2;110;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;5;115;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;9;5;103;Adulte;réduit relâché;gazon;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;10;5;145;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
Quartier Saint-Martin - Oëstres;Rue de Paris;10;5;135;Adulte;réduit relâché;Revetement non permeable;Alignement;50;10;Feuillu;Non
